"Dim.1"	"Dim.2"	"Dim.3"	"Dim.4"	"Dim.5"
"HCC44_LUNG"	0.0574975595881791	1.38195708436862	0.217081474460791	0.0658397193373516	0.000135825039650173
"HCC461_LUNG"	0.791080182114523	0.38208597739259	0.00697273822725805	0.00203047971279542	0.00318938670310264
"HCC515_LUNG"	0.238233105507502	0.550842313274071	0.0784108437350388	0.0185090351203681	0.00171204129925964
"HCC78_LUNG"	0.102039201306871	0.620900599504542	0.0476597104886457	0.00459087776869571	0.0217992143481893
"HCC827GR5_LUNG"	0.381896213244634	0.462529618676925	0.0132658657294202	0.0143557067286609	0.0013272185291019
"HCC827_LUNG"	0.419763820049703	0.499205308255439	0.00543491637721774	0.0108996359767943	0.0352567838245882
"HOP62_LUNG"	1.21667946252629	0.247652809126483	0.0017479342552877	0.0308734837957862	7.17908803082675e-05
"LXF289_LUNG"	0.203711286826427	0.615977828628292	0.0247048834615412	0.223520545553296	0.0231991964401871
"MORCPR_LUNG"	0.0046384768793991	0.931439144845279	0.14749989448342	0.0957542495936368	0.00300191459794
"NCIH1355_LUNG"	0.563041420178781	0.347080724313112	0.00762218814920546	0.0480479603994798	2.92794463896812e-10
"NCIH1373_LUNG"	0.0201938334185817	1.02219549969154	0.0780274395029897	0.0311903106135291	0.00323886371332456
"NCIH1395_LUNG"	0.0109716002982989	0.950354415944972	0.388496352132349	0.319770940677127	0.00469793366064084
"NCIH1435_LUNG"	0.332788374240937	0.593316952388261	0.0285540812274556	0.00901118600464944	0.000686016930888756
"NCIH1563_LUNG"	0.244224321783653	0.579767267785231	0.173105590766354	0.008642587226263	0.000318242921260928
"NCIH1568_LUNG"	0.815510676427279	0.369124272900367	0.00105608754660117	0.0587164393866733	8.85926120304182e-05
"NCIH1573_LUNG"	0.178623248850565	0.545390387986139	0.0541380457993152	0.135979098411391	0.0620072302605266
"NCIH1623_LUNG"	7.09701746699692e-06	1.0008131907875	0.147216706048194	0.00470453863378825	0.0154138814540867
"NCIH1648_LUNG"	0.0940255653739078	0.713610274679403	0.0714773242495577	0.00228964843230415	0.00165011611611677
"NCIH1651_LUNG"	0.688673199025253	0.42145772693021	0.00353488828830132	0.0882228895156475	0.0495061936462347
"NCIH1693_LUNG"	0.552563254794287	0.123544708703675	0.00809216240983609	0.0132762321503505	0.0177419024759148
"NCIH1734_LUNG"	0.437007331970264	0.517138372660087	0.0138231254923705	0.0360765344210438	0.00079259679379146
"NCIH1755_LUNG"	0.307284219934193	0.573127184768856	0.0206604928530304	0.00652659484034823	0.00760597483879081
"NCIH1792_LUNG"	1.2301025303233	0.233406282034064	0.000167333574971714	0.0574796700433476	0.00288752715439717
"NCIH1793_LUNG"	0.105431857192509	0.689166805246849	0.101944214427548	0.00143569141219367	0.000961662832881125
