"eigenvalue"	"percentage of variance"	"cumulative percentage of variance"
"comp 110"	24.3531059118195	0.208962318693577	95.3925102855032
"comp 111"	23.9632039858046	0.20561675731762	95.5981270428208
"comp 112"	23.202147169156	0.199086493882628	95.7972135367035
"comp 113"	22.6055110192084	0.193967045309584	95.9911805820131
"comp 114"	21.7134152937618	0.186312399862677	96.1774929818757
"comp 115"	21.2573896632639	0.182399462700674	96.3598924445764
"comp 116"	20.8467705673275	0.178876137228457	96.5387685818049
"comp 117"	20.460273337351	0.17555978991584	96.7143283717207
"comp 118"	18.8278492666875	0.16155274210304	96.8758811138238
"comp 119"	18.5597804144297	0.15925257188491	97.0351336857087
"comp 120"	18.2067591845761	0.156223466069604	97.1913571517783
"comp 121"	16.9333961247472	0.145297348535189	97.3366545003134
"comp 122"	15.5990258891906	0.133847757693379	97.4705022580068
"comp 123"	14.8459053016386	0.127385591232945	97.5978878492398
"comp 124"	12.7345696870366	0.109269233214175	97.7071570824539
"comp 125"	12.2818647726118	0.105384789523718	97.8125418719777
"comp 126"	11.514633968682	0.0988015500657693	97.9113434220434
"comp 127"	10.7273066005666	0.0920458716316496	98.0033892936751
"comp 128"	9.80189594561507	0.0841053667571334	98.0874946604322
"comp 129"	9.20122296998237	0.0789512801195083	98.1664459405517
"comp 130"	8.77674352530403	0.0753090256440864	98.2417549661958
"comp 131"	8.10486172409253	0.0695439302358234	98.3112988964316
"comp 132"	7.71877813591774	0.0662311321850671	98.3775300286167
"comp 133"	7.40906988435046	0.0635736742575087	98.4411037028742
"comp 134"	7.17315789580282	0.0615494266599733	98.5026531295342
"comp 135"	6.81048491883531	0.0584375038330022	98.5610906333672
"comp 136"	6.63951614791419	0.0569705028301228	98.6180611361973
"comp 137"	6.36889819215586	0.05464845997776	98.6727095961751
"comp 138"	6.13258492370403	0.0526207691898763	98.725330365365
"comp 139"	5.78959410571206	0.0496777295267743	98.7750080948917
"comp 140"	5.5167109106063	0.0473362497422949	98.822344344634
"comp 141"	5.45218974920431	0.0467826246096247	98.8691269692436
"comp 142"	5.32706346405712	0.0457089759847411	98.9148359452284
"comp 143"	5.06930752743233	0.0434972959481503	98.9583332411765
"comp 144"	4.94214913993587	0.0424062108278865	99.0007394520044
"comp 145"	4.78594997490125	0.0410659407275624	99.041805392732
"comp 146"	4.64248074248994	0.0398349000720334	99.081640292804
"comp 147"	4.51817338582993	0.0387682782796263	99.1204085710836
"comp 148"	4.34094745450724	0.0372475875851451	99.1576561586688
"comp 149"	4.28687931793499	0.0367836548438148	99.1944398135126
"comp 150"	3.97173361341955	0.0340795407410668	99.2285193542537
"comp 151"	3.87566263634325	0.0332552017757737	99.2617745560294
"comp 152"	3.75194718393446	0.0321936588297867	99.2939682148592
"comp 153"	3.6953411151104	0.0317079493093488	99.3256761641686
"comp 154"	3.57358722493766	0.0306632375878714	99.3563394017564
"comp 155"	3.47634875484482	0.0298288809250955	99.3861682826815
"comp 156"	3.32623867778121	0.0285408583674774	99.414709141049
"comp 157"	3.23569094943686	0.0277639117498352	99.4424730527989
"comp 158"	3.03525132086685	0.0260440354557917	99.4685170882546
"comp 159"	2.95003480616292	0.0253128334248066	99.4938299216794
"comp 160"	2.82404334013407	0.0242317610978385	99.5180616827773
"comp 161"	2.69627313589034	0.0231354262715786	99.5411971090489
"comp 162"	2.6683147892782	0.0228955291120104	99.5640926381609
"comp 163"	2.49761359936696	0.0214308240934077	99.5855234622543
"comp 164"	2.41927747342989	0.0207586593776398	99.6062821216319
"comp 165"	2.4118114865788	0.020694597326196	99.6269767189581
"comp 166"	2.36116360428611	0.0202600121460091	99.6472367311041
"comp 167"	2.30551664603397	0.019782532293266	99.6670192633974
"comp 168"	2.24108193164045	0.0192296489209035	99.6862489123183
"comp 169"	2.15932452049582	0.0185281277980937	99.7047770401164
"comp 170"	2.05334462523811	0.0176187651595809	99.722395805276
"comp 171"	1.9563944229695	0.0167868819847113	99.7391826872607
"comp 172"	1.88598917459213	0.0161827683245316	99.7553654555852
"comp 173"	1.84507337708792	0.0158316894950536	99.7711971450803
"comp 174"	1.81476216724091	0.0155716035448272	99.7867687486251
"comp 175"	1.73347075101681	0.0148740809008745	99.801642829526
"comp 176"	1.70662247097314	0.014643708689988	99.816286538216
"comp 177"	1.65457966119158	0.0141971543062202	99.8304836925222
"comp 178"	1.60035978101866	0.0137319195258499	99.844215612048
"comp 179"	1.57563857547478	0.0135197987208053	99.8577354107688
"comp 180"	1.52701559636898	0.01310258826344	99.8708379990323
"comp 181"	1.52081560565849	0.0130493891175309	99.8838873881498
"comp 182"	1.43352516793128	0.0123003917480248	99.8961877798978
"comp 183"	1.39307553708304	0.0119533128709833	99.9081410927688
"comp 184"	1.32186537033536	0.0113422925924188	99.9194833853612
"comp 185"	1.29431350337008	0.011105883239696	99.9305892686009
"comp 186"	1.20486691639025	0.0103383849878423	99.9409276535888
"comp 187"	1.17464601796757	0.0100790739566221	99.9510067275454
"comp 188"	1.09918456888806	0.00943157546387427	99.9604383030093
"comp 189"	1.05845608332447	0.00908210386829788	99.9695204068776
"comp 190"	0.890432454222486	0.0076403737144689	99.977160780592
"comp 191"	0.840415001652328	0.00721119794928925	99.9843719785413
"comp 192"	0.808092796806487	0.00693385661573074	99.9913058351571
"comp 193"	0.735169055883085	0.00630813297923277	99.9976139681363
"comp 194"	0.26151796448262	0.00224396019284712	99.9998579283291
"comp 195"	0.0165574658108343	0.000142071670859951	100
