"Dim.1"	"Dim.2"	"Dim.3"	"Dim.4"	"Dim.5"
"A549_RHA049"	0.0071521660231044	0.104354856395424	0.0145638035234503	0.0182367123799616	0.00718793701326119
"A549_RHA050"	0.0115467090821528	0.11679112944109	0.0171192798452712	0.0462017739481267	0.00200843298857383
"A549_RHA051"	0.0559120089923884	0.0606981445734873	0.0415279322911758	0.000504637336981319	0.0128788937492422
"A549_RHA052"	0.379098194492613	0.00738579146953885	0.0449488310221313	0.0797646055189718	0.00316033319229195
"A549_RHA053"	0.0883271692540327	0.0818142089719629	0.038821662028211	0.000392972076046579	0.000124794073066855
"A549_RHA054"	0.477253578921539	0.00755510055146032	0.00157594654898511	0.0601253849153976	0.0313851542452634
"A549_RHA055"	0.153358793225265	0.0410379013568633	0.00988764565535277	0.00567875787070972	0.0207537828671292
"A549_RHA056"	0.0128562255414833	0.135860251432013	0.0163772344560699	0.0208662587290316	0.0137749894018499
"A549_RHA057"	4.37474295680444e-05	0.115441916381295	0.0176735953204516	0.000117264497701642	2.43202813919727e-05
"A549_RHA058"	0.131399058814157	0.0144896611858562	9.59867644591629e-05	0.104931256790817	0.0347980058714362
"A549_RHA059"	0.0154155516020606	0.170572661504	0.00419039457242158	0.00228249444032944	0.0029860929842214
"A549_RHA060"	0.132956114698596	0.0874303895695479	0.0392983111110328	0.0398465652844177	0.00258877900156156
"A549_RHA061"	0.02244225492246	0.104475070693429	0.0270648454374203	0.0162590804434029	0.000118976309644571
"A549_RHA062"	0.0304596803636518	0.096384532178175	0.0395543910687266	0.0690953993907192	0.00687558627728151
"A549_RHA063"	1.14765885616425e-05	0.172028626763852	0.0187985505359309	0.00136166349530826	0.0215572834656002
"A549_RHA064"	0.00606208627843292	0.155767426776261	0.0172185426479962	1.43269921065096e-08	0.00207043787481779
"A549_RHA065"	0.00109127811663402	0.174209895092356	0.0159005071435366	0.000782653000865615	0.00986998553903089
"A549_RHA066"	0.0342649811174778	0.0938234167706725	0.0217771793543522	0.054517344074473	2.64591688412232e-07
"A549_RHA067"	0.0140872813026813	0.0889976767510501	0.0282727740235597	0.00631732379183831	0.0414208508766457
"A549_RHA068"	0.00950797475425652	0.118411898276014	0.0297609496324146	0.0277145478213627	0.000121512140408178
"A549_RHA069"	0.146876918348505	0.0545615953661254	0.038201382321979	0.000116364767404148	0.0890943989246512
"A549_RHA070"	0.141115496497124	0.0524699617638832	0.0701062156746081	0.00844955948698948	0.0442126965650694
"A549_RHA071"	4.80072919089285e-06	0.191261105012742	0.0148823986993476	0.00218399627082582	0.00824345873826605
"A549_RHA072"	0.391058538045062	0.000809418071908802	0.00251141422644279	0.0283510588188731	0.0159969751746249
"A549_RHA073"	0.0667197354126347	0.0488005561305873	0.0215617281802638	0.0206170713444805	0.00400494263577711
"A549_RHA074"	0.0904877418130234	0.077263037430941	0.0161451021984521	0.0441183846847354	0.0141795366915642
"A549_RHA075"	0.0726848920880328	0.0863192638535563	0.060711022517972	0.160530666881785	0.0161397637177363
"A549_RHA076"	0.455396046655211	0.000646210205198536	0.00957344137881824	0.0137878211077581	0.019018869388254
"A549_RHA077"	0.0913378932411393	0.0722308307827957	0.0241371391633043	0.0221817743268075	0.0207225711539924
"A549_RHA078"	0.0413548181513088	0.12665600111677	0.00706895585413711	0.0271460165611018	9.00785919049894e-05
"A549_RHA079"	0.00421882784401246	0.172036604340712	0.0166699983667064	0.00594022288980672	0.0113147024322249
"A549_RHA080"	0.00120198581329215	0.126448495034854	0.0134823416853733	0.0404389002019597	0.000183504687768245
"A549_RHA081"	0.0186374047112029	0.113186450803812	0.035640797709558	0.00144827987816114	0.00062617253429763
"A549_RHA082"	0.0454382551118307	0.089863497374959	0.0365949988564242	0.0138620036577844	2.7945566875691e-07
"A549_RHA084"	0.137214565259886	0.0522191060458114	0.0598226158833616	0.00381683422693335	0.00515340139636327
"A549_RHA085"	0.0849956021604487	0.0828059681699309	0.0164228314112468	0.0542250180341685	0.00128577530692193
"A549_RHA086"	0.0532181254460485	0.0957244860448953	0.024213417459101	0.0558724738891196	0.0832032663060558
"A549_RHA087"	0.0311243562396378	0.0979239480356119	0.0298775542741537	0.0236488973121098	0.0284766901833043
"A549_RHA088"	0.218648061873813	0.0310694482549166	0.0833136938169407	5.68447193981388e-05	0.0199298382817339
"A549_RHA089"	0.226657666146862	0.0402400405207953	0.02691241518437	0.00888471598044097	0.0314692272900213
"A549_RHA091"	0.00627851851494968	0.127484909517562	0.0101893579744957	0.000802317759490542	0.00873948820269721
"A549_RHA092"	0.0104728787280194	0.141650533913042	0.00567943460420428	0.039394402152977	4.36372137161911e-05
"A549_RHA093"	0.00494402348057647	0.0907030520795832	0.0155745510660769	3.22605104977766e-08	0.0420861979868955
"A549_RHA094"	0.107579543460694	0.0772950272368853	0.024194502020694	0.00115216883282347	0.0171323478515289
"A549_RHA095"	0.00992802158997235	0.174763171627266	0.00747926433878543	0.0133207129240844	7.33968488456633e-05
"A549_RHA096"	0.0111971409526397	0.16017708475728	0.0184351834461328	0.0456783402880001	0.000384045863694102
"A549_RHA097"	0.000522225435644861	0.187979585529131	0.00877410532236419	0.0247324733494847	0.00313032267595712
"A549_RHA098"	0.00779069976431674	0.190389620292158	0.0397411561907404	2.50717034926793e-05	0.00223996376927548
"A549_RHA099"	0.00781047879853926	0.0973980453743726	0.00120758585506977	5.16484173783769e-06	0.00345156154444635
"H1437_RHL995"	0.550627067940588	0.0216849611885651	0.0367448858933139	7.14683076880868e-05	0.00665309252149441
"H1437_RHL996"	0.143891761955532	0.129076740865962	0.140526721547641	0.00275222919252664	0.00223788895198334
"H1437_RHL999"	0.448974529540675	0.1768181986986	0.0729971738839987	0.00237679057324314	1.51586245829588e-06
"H1437_RHL1001"	0.483545728810152	0.0382631058902586	0.0656123826560928	0.00586729882402277	4.57476751282042e-06
"H1437_RHL1003"	0.409145214393465	0.036699300778123	0.0329297464252007	0.00181834847107854	0.00876529019442414
"H1437_RHL1005"	0.471747938019161	0.129956325593146	0.127190776256125	0.00102008567925287	0.000429021225542966
"H1437_RHL1010"	0.0309544299687822	9.09322828405669e-05	0.155078385744109	0.0411567309871841	0.00426361765872541
"H1437_RHL1011"	0.310261877737116	0.128332441141824	0.127830635398682	0.00251272867162509	0.00157437098173919
"H1437_RHL1012"	0.385636512676637	0.194216009765959	0.122374552364821	0.00561252572162399	0.00132275619637398
"H1437_RHL1013"	0.170190067829384	0.178896109848312	0.168579946964233	0.0115487754506043	0.00150617338935813
"H1437_RHL1015"	0.437116273617868	0.0158563189867245	0.0630716880659953	0.022661892118852	0.000653046542072645
