"quanti.correlation"	"quanti.p.value"
"ENSG00000183741"	0.715102763830748	5.39413607910322e-32
"ENSG00000122566"	0.715101305739726	5.39638037251318e-32
"ENSG00000104341"	0.714879004909457	5.74952704337909e-32
"ENSG00000136875"	0.714428434105284	6.53656987478804e-32
"ENSG00000081154"	0.713913782130849	7.56589581384187e-32
"ENSG00000170759"	0.713108372193357	9.50541452378063e-32
"ENSG00000156261"	0.712953677491472	9.93043182332871e-32
"ENSG00000065613"	0.71276965554092	1.04604494493789e-31
"ENSG00000129103"	0.712511293861951	1.12518825034948e-31
"ENSG00000120686"	0.712199012247292	1.22875114820583e-31
"ENSG00000232112"	0.711649034770392	1.43444762798759e-31
"ENSG00000169251"	0.711290777186759	1.58630941813634e-31
"ENSG00000143321"	0.711276321904045	1.59275830345396e-31
"ENSG00000018510"	0.711035252664977	1.70419065143134e-31
"ENSG00000181610"	0.710689427264816	1.87756876830811e-31
"ENSG00000067704"	0.710485647739126	1.98774834184116e-31
"ENSG00000196683"	0.710135515748396	2.19211474423084e-31
"ENSG00000153187"	0.710092436738496	2.21864695954936e-31
"ENSG00000135829"	0.709925591583741	2.3244237939948e-31
"ENSG00000085832"	0.709657329511852	2.5049985512215e-31
"ENSG00000072042"	0.709460731387894	2.64603861107915e-31
"ENSG00000126698"	0.709430707917214	2.66825493936422e-31
"ENSG00000108424"	0.708951429283105	3.04881086909212e-31
"ENSG00000114942"	0.708672056926603	3.29479327704449e-31
"ENSG00000124172"	0.708557802885325	3.40093191319782e-31
"ENSG00000122692"	0.708375310554471	3.57748571627449e-31
"ENSG00000134333"	0.708137336976648	3.82133191424357e-31
"ENSG00000143183"	0.707373375884893	4.72011667335706e-31
"ENSG00000034510"	0.70733276081952	4.77333151530458e-31
"ENSG00000198258"	0.706525366432679	5.96263054461742e-31
"ENSG00000110344"	0.70638073092451	6.20455938130235e-31
"ENSG00000174780"	0.70614431001402	6.62098812444061e-31
"ENSG00000101444"	0.705948324402022	6.98696098273808e-31
"ENSG00000128595"	0.705921502965057	7.03857085591005e-31
"ENSG00000078668"	0.705365617854362	8.19681943119058e-31
"ENSG00000131236"	0.704712870000093	9.79801231868318e-31
"ENSG00000106554"	0.704480433203603	1.04395348331724e-30
"ENSG00000163597"	0.703787733515778	1.26068186595035e-30
"ENSG00000157106"	0.703744709162639	1.27551653494243e-30
"ENSG00000169813"	0.703606762409276	1.32424869911825e-30
"ENSG00000136942"	0.702990080124591	1.56548569247698e-30
"ENSG00000170860"	0.702881896071027	1.61205528576672e-30
"ENSG00000168288"	0.702790360696718	1.65252142486588e-30
"ENSG00000116288"	0.70232993914383	1.87173127160312e-30
"ENSG00000087191"	0.702258245652941	1.90834835718391e-30
"ENSG00000054118"	0.701796963877902	2.16139923303102e-30
"ENSG00000092201"	0.701750154944122	2.18885368548387e-30
"ENSG00000006625"	0.701123491613005	2.59120536276036e-30
"ENSG00000116251"	0.701053072237987	2.64073667366246e-30
"ENSG00000168090"	0.700473164133243	3.08569378640045e-30
"ENSG00000139343"	0.700457033269736	3.0990718774349e-30
"ENSG00000136240"	0.700387631419722	3.15728446349741e-30
"ENSG00000182481"	0.700079001967374	3.42946534687293e-30
"ENSG00000061794"	0.699913032452644	3.58525420409775e-30
"ENSG00000120800"	0.699707371148691	3.78799291151734e-30
"ENSG00000111843"	0.699627759452227	3.86946773682688e-30
"ENSG00000171314"	0.699528426649927	3.97354779656595e-30
"ENSG00000152234"	0.699172552317986	4.36955771914849e-30
"ENSG00000001630"	0.6989258777122	4.66660019164484e-30
"ENSG00000173660"	0.698728118551081	4.91902045045089e-30
"ENSG00000173674"	0.698705228088201	4.94909208625807e-30
"ENSG00000204370"	0.698574930211066	5.12374584715689e-30
"ENSG00000163468"	0.698475126511456	5.26161547268336e-30
"ENSG00000084073"	0.698379518806136	5.39711114471938e-30
"ENSG00000158417"	0.69828246579294	5.53816749279656e-30
"ENSG00000169967"	0.698119901232492	5.78261173466296e-30
"ENSG00000104442"	0.697507078202881	6.80335712138994e-30
"ENSG00000179218"	0.697399301659554	7.00037087492215e-30
"ENSG00000155660"	0.697300729256815	7.18547094500739e-30
"ENSG00000178691"	0.696991759946488	7.79743518981654e-30
"ENSG00000213585"	0.696967151209298	7.84832637512512e-30
"ENSG00000146731"	0.696917003393128	7.95304688433504e-30
"ENSG00000183291"	0.696860506323609	8.07267448188223e-30
"ENSG00000114850"	0.696803155090613	8.19592216033868e-30
"ENSG00000111229"	0.696634429922505	8.56935367979115e-30
"ENSG00000132432"	0.696362575441482	9.20656154624588e-30
"ENSG00000158604"	0.696206252773244	9.59385899053323e-30
"ENSG00000148943"	0.695407011774636	1.18389005740837e-29
"ENSG00000167460"	0.695315969252444	1.21253569830067e-29
"ENSG00000144746"	0.695285538107518	1.22226186328958e-29
"ENSG00000128050"	0.694545490040978	1.48392068874661e-29
"ENSG00000196792"	0.694437784490221	1.52633732155036e-29
"ENSG00000170515"	0.694077642094027	1.67702113557808e-29
"ENSG00000136930"	0.693600108968707	1.89959704978698e-29
"ENSG00000120438"	0.692645981968798	2.43492350651715e-29
"ENSG00000135316"	0.692619371266215	2.45180840171506e-29
"ENSG00000110321"	0.692142535024697	2.77466090851791e-29
"ENSG00000119616"	0.692003859177108	2.8761692469162e-29
"ENSG00000174021"	0.691977455090715	2.89590669039197e-29
"ENSG00000108518"	0.691836772973028	3.00333753582379e-29
"ENSG00000136888"	0.691320670439132	3.43211589436816e-29
"ENSG00000185651"	0.691011111452251	3.71763554109023e-29
"ENSG00000161960"	0.690892945874251	3.83268324614689e-29
"ENSG00000215301"	0.69087528508131	3.85017638970606e-29
"ENSG00000089157"	0.689976656335129	4.85203999098072e-29
"ENSG00000144867"	0.689480197134976	5.51136415172133e-29
"ENSG00000187514"	0.68901467474584	6.20932966699798e-29
"ENSG00000167005"	0.688057002803941	7.92997808020459e-29
"ENSG00000128524"	0.687898884837848	8.25603125967869e-29
"ENSG00000113282"	0.686862628528898	1.07443675198367e-28
"ENSG00000074696"	0.686717728208604	1.11465579536551e-28
"ENSG00000111481"	0.686378968081258	1.21455429688687e-28
"ENSG00000153201"	0.686341096292941	1.22625580897354e-28
"ENSG00000117500"	0.68632564927465	1.23106037419478e-28
"ENSG00000033178"	0.686299577903032	1.23921154052326e-28
"ENSG00000112237"	0.685687432027765	1.44661868730513e-28
"ENSG00000107581"	0.685462546372933	1.53109874582565e-28
"ENSG00000111144"	0.685295627591838	1.59692437824764e-28
"ENSG00000109133"	0.685054524722104	1.6969483645274e-28
"ENSG00000035141"	0.684532695775969	1.93502215123303e-28
"ENSG00000102172"	0.684412078973177	1.99456458932506e-28
"ENSG00000134910"	0.684297817143195	2.05263119932361e-28
"ENSG00000239900"	0.683998866838671	2.21254044172845e-28
"ENSG00000092203"	0.683890302022823	2.27359557754862e-28
"ENSG00000161016"	0.683658490811658	2.40956563490182e-28
"ENSG00000161203"	0.683276528372967	2.65126229176722e-28
"ENSG00000102898"	0.683270997599367	2.65493166191019e-28
"ENSG00000112081"	0.682912407174482	2.90381264606946e-28
"ENSG00000062485"	0.682101531614243	3.55436470217504e-28
"ENSG00000100813"	0.681863057725799	3.77161672504048e-28
"ENSG00000084234"	0.681854552901289	3.7796013225846e-28
"ENSG00000165502"	0.681716495768559	3.91156440380052e-28
"ENSG00000116120"	0.681442825955421	4.18669534778929e-28
"ENSG00000111669"	0.681320963384432	4.31525415463945e-28
"ENSG00000077147"	0.681196988919199	4.45002545867559e-28
"ENSG00000198791"	0.680961096771894	4.71799670174358e-28
"ENSG00000165280"	0.680847814451047	4.85226662774792e-28
"ENSG00000244038"	0.680839260550996	4.86255661745085e-28
"ENSG00000100316"	0.680145228067333	5.77307475765595e-28
"ENSG00000138430"	0.680016826513828	5.9590308341968e-28
"ENSG00000136868"	0.679656538363926	6.51286023777475e-28
"ENSG00000090861"	0.679316222740671	7.08235510108985e-28
"ENSG00000143933"	0.679283918180594	7.13889494174443e-28
"ENSG00000198830"	0.679067656123593	7.52900507940302e-28
"ENSG00000086598"	0.678849306772469	7.94414446899518e-28
"ENSG00000175334"	0.678831192904022	7.97957839734574e-28
"ENSG00000140350"	0.678625747578942	8.3925120797163e-28
"ENSG00000173207"	0.67853055685305	8.59089918316781e-28
"ENSG00000160613"	0.678360021548489	8.95791438087907e-28
"ENSG00000115268"	0.677782984883807	1.0317910407226e-27
"ENSG00000125868"	0.677625510601241	1.07230783752173e-27
"ENSG00000172115"	0.677462482940842	1.11590226379575e-27
"ENSG00000055917"	0.67742600338346	1.12589328144698e-27
"ENSG00000096746"	0.677314792703163	1.15689790090656e-27
"ENSG00000065427"	0.676982569135143	1.25460844540198e-27
"ENSG00000084623"	0.67688950151446	1.28340697190625e-27
"ENSG00000131473"	0.67662331633201	1.36941278604491e-27
"ENSG00000118217"	0.676601852061007	1.3765900394184e-27
"ENSG00000165264"	0.676361360228189	1.45958020058596e-27
"ENSG00000109332"	0.675758215124243	1.68998548903129e-27
"ENSG00000170088"	0.675589300575039	1.76068995925693e-27
"ENSG00000124831"	0.675216719869192	1.92709439459576e-27
"ENSG00000170889"	0.675182013516546	1.94336091810722e-27
"ENSG00000086065"	0.675173070302583	1.94757435477638e-27
"ENSG00000136731"	0.675056344364916	2.00339878659326e-27
"ENSG00000120742"	0.674510521916317	2.2860422947454e-27
"ENSG00000118705"	0.674469656996827	2.30871618964352e-27
"ENSG00000239672"	0.674383945402663	2.35699430405871e-27
"ENSG00000239789"	0.67418428562233	2.47333965168136e-27
"ENSG00000196230"	0.674150685322684	2.49346690762249e-27
"ENSG00000181467"	0.673898302859542	2.64988778223111e-27
"ENSG00000005893"	0.673733931198339	2.75691114765681e-27
"ENSG00000128708"	0.673651356806396	2.81226914100819e-27
"ENSG00000086061"	0.673579679886863	2.8612069487707e-27
"ENSG00000091542"	0.673444857569316	2.955538020964e-27
"ENSG00000079785"	0.673016525603289	3.27599075389948e-27
"ENSG00000197713"	0.672960192865602	3.32060092951039e-27
"ENSG00000102580"	0.67287188488021	3.39173780124088e-27
"ENSG00000143376"	0.67285771312447	3.40329266292656e-27
"ENSG00000117592"	0.672807894980414	3.44421975976422e-27
"ENSG00000204568"	0.672772563133789	3.47353898882119e-27
"ENSG00000114391"	0.67248025317932	3.72571184650974e-27
"ENSG00000091140"	0.671788414423027	4.39652250005591e-27
"ENSG00000179134"	0.671785242071851	4.39985680593703e-27
"ENSG00000094916"	0.671734831750714	4.45317569564213e-27
"ENSG00000111775"	0.671659449889774	4.53409480926274e-27
"ENSG00000116898"	0.671449311339675	4.76738302064506e-27
"ENSG00000135521"	0.671353223087682	4.87795251073036e-27
"ENSG00000135972"	0.671251549867269	4.99769549120697e-27
"ENSG00000139697"	0.67119091174305	5.07048197513049e-27
"ENSG00000136238"	0.671188685230317	5.07317430420865e-27
"ENSG00000172757"	0.670939782580317	5.38318636901939e-27
"ENSG00000156256"	0.670504172245805	5.97120320750132e-27
"ENSG00000088832"	0.670474140177926	6.01399407624193e-27
"ENSG00000105193"	0.670243079375437	6.35346245254553e-27
"ENSG00000169756"	0.670002640906461	6.72671506370488e-27
"ENSG00000087302"	0.669803252561321	7.05253367458361e-27
"ENSG00000135404"	0.669761642628177	7.12246058510474e-27
"ENSG00000070214"	0.669543611875745	7.50016780845393e-27
"ENSG00000148153"	0.669472272003824	7.6279799570678e-27
"ENSG00000140988"	0.669183346427592	8.16788906002445e-27
"ENSG00000132507"	0.668825381543932	8.88916257906151e-27
"ENSG00000100934"	0.668344940454538	9.95648112606205e-27
"ENSG00000099194"	0.667880895105551	1.11066553289809e-26
"ENSG00000121892"	0.667617732536023	1.18159887671732e-26
"ENSG00000120948"	0.667521484106902	1.20863934665304e-26
"ENSG00000112851"	0.667472332643824	1.22268201469156e-26
"ENSG00000160131"	0.66719495701864	1.30498894310722e-26
"ENSG00000115561"	0.667120788399587	1.32790544247981e-26
"ENSG00000147274"	0.667024653123519	1.35819896368245e-26
"ENSG00000113460"	0.667001551312449	1.36557934902907e-26
"ENSG00000164164"	0.666738650811006	1.45239810289647e-26
"ENSG00000112514"	0.666597395952648	1.50126415594199e-26
"ENSG00000102158"	0.666390176750996	1.57588911329939e-26
"ENSG00000154473"	0.666328607623392	1.59875643333102e-26
"ENSG00000126432"	0.666084816778391	1.69255075844956e-26
"ENSG00000126945"	0.66550580714239	1.9375484949498e-26
"ENSG00000189241"	0.664737431999433	2.31719552029034e-26
"ENSG00000233954"	0.664693937991977	2.3407476442815e-26
"ENSG00000170348"	0.664257874849332	2.59027877525311e-26
"ENSG00000173933"	0.664038794960306	2.72533795857383e-26
"ENSG00000046604"	0.663754208513036	2.91116422481197e-26
"ENSG00000005700"	0.663664000180595	2.97262750486243e-26
"ENSG00000084463"	0.663333290970144	3.20906593070559e-26
"ENSG00000147853"	0.663043903311912	3.43106625172526e-26
"ENSG00000114030"	0.662832054938654	3.60309115309081e-26
"ENSG00000113312"	0.662690042901038	3.72312724138749e-26
"ENSG00000145907"	0.662272466623581	4.09933116746361e-26
"ENSG00000089220"	0.662238173594949	4.13183750439444e-26
"ENSG00000132646"	0.662175955407362	4.19146245752004e-26
"ENSG00000168374"	0.661495655436514	4.90122479440926e-26
"ENSG00000147459"	0.661270477983033	5.16123087360788e-26
"ENSG00000077097"	0.661198824589707	5.24677675264796e-26
"ENSG00000089280"	0.660998370892202	5.49357058751207e-26
"ENSG00000116062"	0.660990642001624	5.50331132769208e-26
"ENSG00000170855"	0.660967153512027	5.53301828139031e-26
"ENSG00000117519"	0.660165908290662	6.64647976770782e-26
"ENSG00000120705"	0.660015468000701	6.87884642746048e-26
"ENSG00000179010"	0.659815835302483	7.19956527744303e-26
"ENSG00000100221"	0.659807768411509	7.21282957544552e-26
"ENSG00000131100"	0.659095943888472	8.48296852960395e-26
"ENSG00000152601"	0.658848077604836	8.97494617135903e-26
"ENSG00000175166"	0.658717333981046	9.24564613434293e-26
"ENSG00000113068"	0.658707863400869	9.2655635194775e-26
"ENSG00000162704"	0.658707052465175	9.26727094141845e-26
"ENSG00000108883"	0.658452840350757	9.81804908765547e-26
"ENSG00000109572"	0.658295846311263	1.01741384704686e-25
"ENSG00000175216"	0.658219925594171	1.03508649706717e-25
"ENSG00000136758"	0.658106285840083	1.06210469851173e-25
"ENSG00000063177"	0.657850037778411	1.12559881897486e-25
"ENSG00000036549"	0.65766246730315	1.17442712813971e-25
"ENSG00000213064"	0.657102036796248	1.33306350868334e-25
"ENSG00000257103"	0.65670056850782	1.45947356122706e-25
"ENSG00000132824"	0.656058012112588	1.68672579383875e-25
"ENSG00000134440"	0.655966425112493	1.7218293824912e-25
"ENSG00000078618"	0.655599202895249	1.86993638962305e-25
"ENSG00000127314"	0.655461645818695	1.92858153838501e-25
"ENSG00000089248"	0.655296706950522	2.00128786103125e-25
"ENSG00000108055"	0.655288094721595	2.00515733988745e-25
"ENSG00000106771"	0.655231205715705	2.0309030024102e-25
"ENSG00000074695"	0.655083561697272	2.09924658836861e-25
"ENSG00000108588"	0.654929228291963	2.17310347214805e-25
"ENSG00000178035"	0.65484854662649	2.21272479276456e-25
"ENSG00000151465"	0.65456460596062	2.35789284637086e-25
"ENSG00000163029"	0.6544829030577	2.40137184242673e-25
"ENSG00000108561"	0.653325067521585	3.10921308159044e-25
"ENSG00000153561"	0.653292106923557	3.13211067673974e-25
"ENSG00000143401"	0.653170645257164	3.21792953435786e-25
"ENSG00000135040"	0.652733630576899	3.5462561165534e-25
"ENSG00000272325"	0.652518644505266	3.71964418330977e-25
"ENSG00000031698"	0.652451440482542	3.77553495619342e-25
"ENSG00000198561"	0.652356037032182	3.85629834509317e-25
"ENSG00000027697"	0.652268881750745	3.93156225020525e-25
"ENSG00000231925"	0.652080025735659	4.0996401236893e-25
"ENSG00000110955"	0.652033550287009	4.14207347422774e-25
"ENSG00000164091"	0.65152054958019	4.64011692013186e-25
"ENSG00000088205"	0.651383054195966	4.78331750476338e-25
"ENSG00000134717"	0.65136628626393	4.80107568569813e-25
"ENSG00000091527"	0.651242457946739	4.93423846423125e-25
"ENSG00000080371"	0.651056304682779	5.14128304305929e-25
"ENSG00000197111"	0.650997118735244	5.20888296711167e-25
"ENSG00000114573"	0.650922191130343	5.29571669173339e-25
"ENSG00000141367"	0.650876846196772	5.3489564724777e-25
"ENSG00000102024"	0.65063569512155	5.64105544089955e-25
"ENSG00000125944"	0.650564109581653	5.73074362102446e-25
"ENSG00000013275"	0.650500550688473	5.81154909638542e-25
"ENSG00000173113"	0.650035107837095	6.43840754618626e-25
"ENSG00000171320"	0.649907428799887	6.6216819030337e-25
"ENSG00000177225"	0.649569700906772	7.13155003029713e-25
"ENSG00000096401"	0.649274697710297	7.60835381624267e-25
"ENSG00000180398"	0.648649369842446	8.72502868720542e-25
"ENSG00000133112"	0.648008290936602	1.00368334200034e-24
"ENSG00000065154"	0.647609605755094	1.09484618905234e-24
"ENSG00000110435"	0.64724257151455	1.18593905304608e-24
"ENSG00000145833"	0.64713208685047	1.21479007473568e-24
"ENSG00000135766"	0.64642849524891	1.41539401504067e-24
"ENSG00000205339"	0.646361710656559	1.43604712522518e-24
"ENSG00000168385"	0.645984816830759	1.55827467774433e-24
"ENSG00000140105"	0.645880406046288	1.59390676733872e-24
"ENSG00000048828"	0.645846917768782	1.60550394972141e-24
"ENSG00000172172"	0.645715257852671	1.65190788086159e-24
"ENSG00000181904"	0.645301853381717	1.80634803516384e-24
"ENSG00000114503"	0.645199392307727	1.84676877994831e-24
"ENSG00000060749"	0.645135668032531	1.87235486600047e-24
"ENSG00000198856"	0.644689578678817	2.06148315769148e-24
"ENSG00000125686"	0.644394918769384	2.19657894485697e-24
"ENSG00000133318"	0.644179527201676	2.30079940438496e-24
"ENSG00000198700"	0.644045508765698	2.36808280348395e-24
"ENSG00000147065"	0.643886525020806	2.45041046164918e-24
"ENSG00000188554"	0.64387182945856	2.4581608745874e-24
"ENSG00000242372"	0.643665457369542	2.56957961571706e-24
"ENSG00000117906"	0.64353519078696	2.64244906814186e-24
"ENSG00000173726"	0.643483253250918	2.67206514036938e-24
"ENSG00000167721"	0.643326211408895	2.7636126550884e-24
"ENSG00000170144"	0.643010976154833	2.9567798204106e-24
"ENSG00000025800"	0.642905403520405	3.0243908860292e-24
"ENSG00000128989"	0.642869402661786	3.04779219915605e-24
"ENSG00000114867"	0.642830239842177	3.07345092870997e-24
"ENSG00000178913"	0.642793839680865	3.09748989209508e-24
"ENSG00000104131"	0.642304482263549	3.43917520043798e-24
"ENSG00000123416"	0.642253387060697	3.47691863920831e-24
"ENSG00000167863"	0.642203593306008	3.51409221486317e-24
"ENSG00000110700"	0.642193766489446	3.52147444144201e-24
"ENSG00000043093"	0.642102060452219	3.59110584252979e-24
"ENSG00000146223"	0.642034631164439	3.64316555099003e-24
"ENSG00000187735"	0.641893390013135	3.75462800046024e-24
"ENSG00000147454"	0.641675931529831	3.93282085948699e-24
"ENSG00000100632"	0.641521605105869	4.06429646593513e-24
"ENSG00000116005"	0.641408798224284	4.16312313676968e-24
"ENSG00000117614"	0.641403017220575	4.16825080970818e-24
"ENSG00000198034"	0.641383622231697	4.1854992829237e-24
"ENSG00000008018"	0.641361712298744	4.20506873607985e-24
"ENSG00000067533"	0.641238061950493	4.3172075570011e-24
"ENSG00000044574"	0.640390682321755	5.16881982961145e-24
"ENSG00000124486"	0.6399966204049	5.61912248510814e-24
"ENSG00000163191"	0.639925324168971	5.70461512339072e-24
"ENSG00000077684"	0.639790346095116	5.8699844026789e-24
"ENSG00000082153"	0.639712679062439	5.9672641456042e-24
"ENSG00000177600"	0.639692044819493	5.99337422089635e-24
